0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,194,187,250,219,83,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,973,313,-1,-1,194,187,250,203,83,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,-1,-1,946,313,-1,-1,166,187,222,203,83,234,-1,-1
222,219,83,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,-1,-1,806,109,-1,-1,166,187,-1,-1,55,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,194,187,222,203,83,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,194,187,-1,-1,83,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,806,109,-1,-1,194,187,-1,-1,83,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,194,187,-1,-1,83,234,-1,-1
250,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,-1,-1,946,313,-1,-1,194,187,-1,-1,83,234,-1,-1
250,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,-1,-1,946,313,-1,-1,194,187,-1,-1,83,234,-1,-1
250,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,528,422,361,406,-1,-1,946,313,-1,-1,-1,-1,946,313,-1,-1,194,187,-1,-1,83,234,-1,-1
250,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,528,422,-1,-1,-1,-1,918,313,-1,-1,-1,-1,-1,-1,-1,-1,194,187,-1,-1,83,234,-1,-1
250,219,83,360,-1,-1,-1,-1,-1,-1,250,375,528,438,389,406,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,194,187,-1,-1,83,234,-1,-1
250,219,83,360,-1,-1,-1,-1,-1,-1,250,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,194,187,250,187,83,234,-1,-1
250,219,83,375,-1,-1,-1,-1,-1,-1,278,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,946,313,-1,-1,194,187,250,203,83,234,-1,-1
250,219,111,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,194,187,250,203,55,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,194,187,250,203,55,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,187,250,203,55,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,172,222,187,55,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,172,222,187,55,234,-1,-1
222,203,111,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,172,222,172,55,234,-1,-1
222,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,172,222,172,55,234,-1,-1
222,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,172,222,172,55,234,-1,-1
194,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,172,222,172,55,234,-1,-1
222,203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,172,222,187,55,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,834,109,-1,-1,166,187,222,187,55,234,-1,-1
222,234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,806,109,-1,-1,166,187,222,219,55,234,-1,-1
222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,806,109,-1,-1,194,187,250,187,55,234,-1,-1
