[14 22 23 23],[-1 -1 -1 -1]
[12 22 24 24],[50 27 23 23]
[16 24 24 24],[54 28 23 23]
[16 24 24 24],[53 29 22 22]
[15 24 23 23],[51 28 24 24]
[14 24 23 23],[52 28 24 24]
[14 24 24 24],[53 29 24 24]
[16 26 24 24],[54 31 23 23]
[14 22 26 26],[53 28 24 24]
[13 22 26 26],[52 28 24 24]
[53 27 23 23],[13 21 24 24]
[15 23 24 24],[53 28 24 24]
[16 22 23 23],[53 27 24 24]
[51 27 23 23],[12 21 25 25]
[12 21 23 23],[49 25 24 24]
[10 20 23 23],[48 24 25 25]
[10 20 25 25],[50 26 24 24]
[51 26 23 23],[11 21 24 24]
[12 20 23 23],[50 25 24 24]
[13 23 25 25],[52 28 24 24]
[15 24 23 23],[53 29 23 23]
[15 24 24 24],[53 28 25 25]
[14 25 23 23],[53 28 24 24]
[13 23 22 22],[51 26 24 24]
[15 23 24 24],[53 27 24 24]
[53 26 23 23],[14 21 25 25]
[14 23 24 24],[53 27 24 24]
[11 21 24 24],[49 26 23 23]
[12 21 24 24],[51 26 23 23]
[11 22 26 26],[51 27 24 24]
[10 20 25 25],[49 25 24 24]
[13 22 25 25],[52 26 24 24]
[14 22 25 25],[53 26 25 25]
[13 22 24 24],[52 26 23 23]
[12 21 27 27],[52 27 23 23]
[11 21 27 27],[51 26 24 24]
[12 23 25 25],[52 27 24 24]
[11 22 24 24],[52 25 24 24]
[52 25 24 24],[13 21 24 24]
[51 25 24 24],[12 21 26 26]
[12 22 23 23],[50 25 24 24]
[11 23 24 24],[50 25 24 24]
[12 22 24 24],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[14 23 26 26],[-1 -1 -1 -1]
[56 31 20 20],[15 25 25 25]
[13 22 26 26],[52 27 24 24]
[13 22 25 25],[51 27 23 23]
[14 22 25 25],[51 26 23 23]
[11 21 26 26],[49 26 24 24]
[12 21 25 25],[49 27 23 23]
[14 23 23 23],[51 27 24 24]
[51 26 23 23],[13 19 25 25]
[13 24 21 21],[50 27 23 23]
[15 22 25 25],[53 26 24 24]
[52 27 22 22],[14 21 26 26]
[15 22 24 24],[53 27 23 23]
[12 19 27 27],[48 23 25 25]
[51 27 23 23],[12 20 26 26]
[11 22 25 25],[51 26 24 24]
[13 21 27 27],[52 27 23 23]
[51 26 23 23],[12 22 23 23]
[10 19 25 25],[50 25 23 23]
[51 26 23 23],[12 20 25 25]
[11 22 25 25],[50 26 23 23]
[30 47 22 22],[10 20 24 24]
[48 25 22 22],[10 20 24 24]
[14 23 25 25],[51 27 23 23]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[12 22 27 27],[51 27 22 22]
[14 24 22 22],[50 26 23 23]
[15 24 24 24],[53 28 23 23]
[14 24 23 23],[51 29 22 22]
[13 23 23 23],[50 27 23 23]
[49 25 23 23],[13 21 24 24]
[12 21 25 25],[49 26 22 22]
[15 23 22 22],[50 28 23 23]
[14 23 23 23],[50 28 22 22]
[50 26 22 22],[12 19 24 24]
[11 19 21 21],[44 23 22 22]
[45 25 22 22],[-1 -1 -1 -1]
[47 25 21 21],[11 18 25 25]
[46 26 23 23],[-1 -1 -1 -1]
[12 20 22 22],[-1 -1 -1 -1]
[49 26 23 23],[-1 -1 -1 -1]
[47 25 24 24],[14 20 23 23]
[43 22 22 22],[-1 -1 -1 -1]
[44 22 25 25],[-1 -1 -1 -1]
[45 24 26 26],[13 20 22 22]
[47 25 25 25],[-1 -1 -1 -1]
[47 25 24 24],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[15 20 24 24],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[46 26 22 22],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[48 25 22 22],[-1 -1 -1 -1]
[46 24 22 22],[-1 -1 -1 -1]
[45 24 21 21],[-1 -1 -1 -1]
[47 26 23 23],[-1 -1 -1 -1]
[46 25 24 24],[-1 -1 -1 -1]
[46 25 21 21],[-1 -1 -1 -1]
[48 25 23 23],[-1 -1 -1 -1]
[45 24 22 22],[-1 -1 -1 -1]
[44 22 22 22],[-1 -1 -1 -1]
[45 23 21 21],[-1 -1 -1 -1]
[44 22 23 23],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[44 24 23 23],[-1 -1 -1 -1]
[44 24 22 22],[-1 -1 -1 -1]
[46 24 22 22],[-1 -1 -1 -1]
[48 24 22 22],[-1 -1 -1 -1]
[48 25 22 22],[-1 -1 -1 -1]
[48 25 22 22],[-1 -1 -1 -1]
[46 25 21 21],[-1 -1 -1 -1]
[46 25 23 23],[-1 -1 -1 -1]
[42 24 22 22],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[44 23 23 23],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[41 22 22 22],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[43 22 23 23],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[47 26 23 23],[-1 -1 -1 -1]
[48 26 22 22],[-1 -1 -1 -1]
[43 24 23 23],[-1 -1 -1 -1]
[48 27 22 22],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
