[53 83 50 50],[153  73  54  54]
[56 87 48 48],[-1 -1 -1 -1]
[152  75  65  65],[61 92 45 45]
[59 89 47 47],[145  71  66  66]
[55 85 48 48],[-1 -1 -1 -1]
[147  66  62  62],[60 84 43 43]
[47 78 50 50],[-1 -1 -1 -1]
[158 195  37  37],[151  80  59  59]
[56 87 45 45],[147  73  59  59]
[155  78  56  56],[61 93 44 44]
[153  74  63  63],[60 91 47 47]
[64 98 47 47],[-1 -1 -1 -1]
[62 90 45 45],[155  76  59  59]
[ 69 100  45  45],[160  85  61  61]
[151  73  61  61],[57 88 49 49]
[ 63 100  48  48],[160  85  62  62]
[156  82  55  55],[61 94 47 47]
[153  78  56  56],[58 93 46 46]
[70 99 48 48],[168  86  67  67]
[155  76  68  68],[57 90 52 52]
[149  69  74  74],[60 89 48 48]
[48 76 52 52],[146  64  64  64]
[57 83 51 51],[-1 -1 -1 -1]
[58 86 46 46],[142  67  74  74]
[155  76  61  61],[58 89 49 49]
[141  70  72  72],[51 88 50 50]
[51 80 51 51],[140  60  75  75]
[56 84 49 49],[151  71  61  61]
[53 85 49 49],[148  71  60  60]
[58 87 48 48],[152  72  63  63]
[153  76  61  61],[54 88 51 51]
[151  76  64  64],[59 93 45 45]
[52 83 43 43],[147  66  65  65]
[145  64  65  65],[50 78 46 46]
[147  68  66  66],[51 81 53 53]
[152  76  56  56],[57 88 47 47]
[52 81 52 52],[154  73  52  52]
[54 82 45 45],[140  64  69  69]
[59 89 46 46],[158  77  57  57]
[150  70  53  53],[53 81 49 49]
[145  65  66  66],[55 83 46 46]
[51 78 46 46],[140  60  71  71]
[149  67  62  62],[53 80 52 52]
[149  71  58  58],[51 83 52 52]
[160 188  28  28],[146  66  74  74]
[56 86 48 48],[153  75  55  55]
[149  74  67  67],[58 90 45 45]
[148  65  66  66],[53 77 52 52]
[149  68  63  63],[-1 -1 -1 -1]
[150  66  64  64],[51 77 52 52]
[151  68  59  59],[-1 -1 -1 -1]
[144  66  69  69],[51 81 50 50]
[155  73  67  67],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[62 85 35 35],[147  66  62  62]
[159  75  66  66],[62 89 47 47]
[151  74  58  58],[57 86 45 45]
[158 188  30  30],[148  71  57  57]
[149  70  60  60],[58 82 44 44]
[150  74  60  60],[58 85 45 45]
[60 86 45 45],[154  73  65  65]
[155  79  60  60],[61 91 44 44]
[154  72  63  63],[59 85 46 46]
[66 88 45 45],[158  73  65  65]
