[18 21 27 27],[-1 -1 -1 -1]
[63 28 21 21],[21 22 24 24]
[62 28 22 22],[18 21 25 25]
[61 27 23 23],[20 22 25 25]
[20 23 25 25],[-1 -1 -1 -1]
[63 28 22 22],[21 23 24 24]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[60 26 22 22],[19 22 25 25]
[63 27 22 22],[21 24 23 23]
[20 23 23 23],[63 27 21 21]
[60 27 22 22],[18 22 25 25]
[60 25 22 22],[18 20 24 24]
[60 26 21 21],[18 20 22 22]
[60 26 22 22],[19 21 25 25]
[21 21 24 24],[62 25 23 23]
[58 28 24 24],[18 22 25 25]
[60 27 24 24],[19 22 24 24]
[18 25 25 25],[60 31 23 23]
[55 26 25 25],[16 22 24 24]
[56 29 26 26],[17 24 25 25]
[53 29 25 25],[13 26 23 23]
[14 24 25 25],[54 29 24 24]
[54 27 25 25],[14 23 26 26]
[15 24 27 27],[57 29 25 25]
[57 30 24 24],[15 24 28 28]
[18 26 25 25],[58 31 25 25]
[13 22 27 27],[53 28 25 25]
[55 28 24 24],[14 22 27 27]
[15 22 26 26],[55 29 25 25]
[55 27 26 26],[12 21 27 27]
[16 23 24 24],[56 27 25 25]
[62 30 23 23],[21 24 25 25]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[58 25 23 23],[-1 -1 -1 -1]
[60 26 25 25],[-1 -1 -1 -1]
[60 28 22 22],[-1 -1 -1 -1]
[60 29 24 24],[-1 -1 -1 -1]
[58 26 26 26],[-1 -1 -1 -1]
[61 29 24 24],[-1 -1 -1 -1]
[58 25 23 23],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[62 29 24 24],[-1 -1 -1 -1]
[60 28 21 21],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[62 27 23 23],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[18 20 25 25],[-1 -1 -1 -1]
[58 26 23 23],[17 19 26 26]
[60 25 22 22],[18 20 26 26]
[57 25 22 22],[16 19 26 26]
[17 18 27 27],[60 24 22 22]
[59 25 24 24],[19 19 25 25]
[58 25 23 23],[19 20 24 24]
[21 20 25 25],[61 25 23 23]
[22 23 24 24],[62 28 22 22]
[18 20 25 25],[58 26 22 22]
[57 24 23 23],[17 19 26 26]
[20 23 23 23],[59 28 22 22]
[19 22 23 23],[58 26 23 23]
[57 26 23 23],[16 19 25 25]
[59 27 22 22],[18 21 25 25]
[59 26 23 23],[19 21 25 25]
[17 19 24 24],[57 25 22 22]
[56 22 23 23],[17 18 24 24]
[57 24 22 22],[16 18 25 25]
[17 19 24 24],[57 24 23 23]
[18 19 24 24],[57 24 22 22]
[17 18 25 25],[57 23 23 23]
[54 23 24 24],[15 17 25 25]
[55 25 23 23],[16 19 24 24]
[55 25 24 24],[16 21 24 24]
[15 17 24 24],[54 22 24 24]
[54 26 23 23],[14 18 26 26]
[15 20 25 25],[54 26 23 23]
[55 26 23 23],[15 19 25 25]
[56 28 22 22],[17 21 25 25]
[16 19 25 25],[-1 -1 -1 -1]
[55 26 23 23],[16 18 24 24]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[19 18 24 24],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[55 25 24 24],[17 18 23 23]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[17 19 23 23],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[18 19 24 24],[-1 -1 -1 -1]
[57 29 22 22],[18 20 24 24]
[17 17 25 25],[-1 -1 -1 -1]
[18 20 23 23],[-1 -1 -1 -1]
[18 20 24 24],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[17 18 26 26],[-1 -1 -1 -1]
[19 21 24 24],[57 28 22 22]
[53 26 26 26],[18 19 24 24]
[53 25 25 25],[15 18 25 25]
[53 27 23 23],[16 19 24 24]
[57 28 21 21],[18 19 25 25]
[55 28 23 23],[18 20 24 24]
[17 20 24 24],[55 28 23 23]
[54 26 24 24],[16 19 24 24]
[54 27 24 24],[17 19 26 26]
[56 27 23 23],[17 19 25 25]
[55 27 23 23],[16 19 26 26]
[54 26 23 23],[15 18 26 26]
[16 18 24 24],[54 26 23 23]
[55 27 22 22],[16 19 24 24]
[18 21 24 24],[54 28 24 24]
[54 26 22 22],[16 18 25 25]
[18 20 24 24],[56 27 23 23]
[54 26 21 21],[15 18 24 24]
[16 18 24 24],[54 27 22 22]
[18 20 24 24],[-1 -1 -1 -1]
[56 28 24 24],[18 21 25 25]
[19 22 23 23],[56 29 22 22]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[16 19 23 23],[-1 -1 -1 -1]
[16 20 23 23],[-1 -1 -1 -1]
[18 21 23 23],[-1 -1 -1 -1]
[17 19 22 22],[-1 -1 -1 -1]
[18 21 24 24],[-1 -1 -1 -1]
[56 30 21 21],[19 21 23 23]
[18 20 23 23],[-1 -1 -1 -1]
[51 26 24 24],[16 20 23 23]
[53 25 24 24],[16 20 23 23]
[54 27 22 22],[17 19 23 23]
[52 25 23 23],[14 18 23 23]
[18 19 23 23],[54 27 22 22]
[54 25 23 23],[17 18 23 23]
[55 26 23 23],[17 20 24 24]
[20 22 25 25],[57 30 23 23]
[54 25 24 24],[18 19 24 24]
[17 19 23 23],[-1 -1 -1 -1]
[55 26 23 23],[18 21 23 23]
[57 27 23 23],[18 21 25 25]
[56 28 22 22],[16 19 25 25]
[56 26 22 22],[18 19 24 24]
[55 27 22 22],[17 20 24 24]
[58 28 22 22],[18 21 24 24]
