[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[55 79 51 51],[-1 -1 -1 -1]
[57 78 56 56],[-1 -1 -1 -1]
[156  78  48  48],[52 70 67 67]
[160  79  49  49],[58 82 48 48]
[50 74 55 55],[153  69  59  59]
[53 72 53 53],[162  71  50  50]
[41 65 57 57],[150  58  60  60]
[41 64 58 58],[ 70 151  89  89]
[ 75 148  87  87],[157  59  50  50]
[155  66  50  50],[36 64 63 63]
[35 66 55 55],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[161  70  45  45],[ 86 161  69  69]
[161  78  43  43],[-1 -1 -1 -1]
[154  72  50  50],[-1 -1 -1 -1]
[166  84  42  42],[ 89 170  76  76]
[158  82  48  48],[-1 -1 -1 -1]
[116 223  31  31],[-1 -1 -1 -1]
[120 221  26  26],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[107 223  34  34],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[147  80  45  45],[46 83 54 54]
[147  78  46  46],[45 82 55 55]
[147  78  47  47],[47 84 52 52]
[146  78  47  47],[46 83 56 56]
[145  76  48  48],[45 81 54 54]
[146  78  43  43],[46 80 59 59]
[147  77  46  46],[46 82 56 56]
[152  80  42  42],[49 85 52 52]
[150  79  45  45],[48 83 55 55]
[149  78  46  46],[50 84 53 53]
[149  77  47  47],[49 85 53 53]
[153  79  45  45],[49 84 54 54]
[150  79  47  47],[50 85 53 53]
[152  80  45  45],[48 82 56 56]
[151  80  44  44],[50 84 54 54]
[147  78  47  47],[46 83 53 53]
[146  76  50  50],[48 84 51 51]
[148  76  49  49],[49 84 53 53]
[148  78  46  46],[46 81 58 58]
[149  78  46  46],[49 85 52 52]
[148  77  47  47],[49 83 54 54]
[149  77  46  46],[50 84 52 52]
[149  79  44  44],[49 84 53 53]
[147  77  47  47],[48 83 54 54]
[148  76  48  48],[50 85 51 51]
[148  77  47  47],[49 85 52 52]
[148  78  46  46],[49 85 52 52]
[151  79  43  43],[46 82 55 55]
[149  76  44  44],[48 81 56 56]
[147  76  48  48],[48 83 53 53]
[146  76  48  48],[48 82 57 57]
[149  76  47  47],[50 82 54 54]
[143  75  48  48],[44 80 58 58]
[143  73  51  51],[45 81 56 56]
[147  77  46  46],[ 83 137  36  36]
[141  72  52  52],[43 80 57 57]
[147  78  45  45],[47 81 60 60]
[142  75  53  53],[46 84 56 56]
[151  80  43  43],[48 85 52 52]
[150  77  46  46],[46 83 54 54]
[150  78  45  45],[47 84 55 55]
[153  79  45  45],[48 83 57 57]
[140  71  56  56],[43 79 61 61]
[150  78  44  44],[ 89 140  34  34]
[144  74  51  51],[44 82 58 58]
[147  74  49  49],[46 84 55 55]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[148  74  50  50],[ 92 141  29  29]
[147  75  51  51],[46 83 57 57]
[ 88 140  33  33],[147  78  45  45]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 90 139  33  33],[150  77  44  44]
[147  75  50  50],[46 84 57 57]
[ 90 137  33  33],[145  72  51  51]
[146  73  51  51],[48 80 59 59]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[147  74  49  49],[46 80 57 57]
[144  72  53  53],[48 81 54 54]
[ 87 133  42  42],[145  71  52  52]
[146  71  50  50],[45 81 56 56]
[ 88 139  30  30],[145  76  48  48]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 87 140  31  31],[142  74  50  50]
[143  71  53  53],[46 81 56 56]
[144  73  47  47],[44 80 54 54]
[143  71  51  51],[ 88 156  71  71]
[ 89 138  32  32],[144  72  53  53]
[144  73  50  50],[46 82 55 55]
[146  73  50  50],[47 80 55 55]
[144  73  50  50],[46 82 54 54]
[ 90 137  34  34],[143  69  53  53]
[142  71  51  51],[ 87 137  33  33]
[ 88 136  34  34],[146  71  50  50]
[147  73  47  47],[46 80 56 56]
[144  72  50  50],[46 81 54 54]
[145  73  49  49],[ 90 139  31  31]
[ 94 141  31  31],[144  72  52  52]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[143  72  52  52],[45 81 54 54]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 91 141  29  29],[147  75  48  48]
[ 88 139  32  32],[143  70  51  51]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[145  71  53  53],[47 80 55 55]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 87 137  31  31],[142  68  54  54]
[ 92 142  29  29],[144  70  53  53]
[144  69  53  53],[48 79 56 56]
[ 90 137  33  33],[141  67  56  56]
[ 88 137  34  34],[143  69  53  53]
[ 86 136  32  32],[141  69  50  50]
[ 90 141  27  27],[141  71  53  53]
[ 88 138  28  28],[139  65  55  55]
[140  66  56  56],[43 80 53 53]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[139  64  56  56],[43 77 54 54]
[ 87 139  30  30],[139  62  56  56]
[ 86 137  31  31],[139  64  53  53]
