[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[59 93 38 38],[-1 -1 -1 -1]
[58 91 48 48],[55 49 21 21]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[102  50  42  42],[ 60 112  41  41]
[103  54  42  42],[32 52 45 45]
[103  55  43  43],[32 55 44 44]
[ 64 132  22  22],[109  59  41  41]
[106  58  41  41],[37 56 43 43]
[ 63 132  22  22],[108  59  44  44]
[108  58  43  43],[35 54 47 47]
[ 68 117  56  56],[111  60  42  42]
[115  63  39  39],[38 54 47 47]
[116  62  39  39],[40 54 46 46]
[114  59  38  38],[41 51 44 44]
[110  60  41  41],[38 57 39 39]
[39 54 42 42],[ 66 120  50  50]
[115  59  38  38],[ 65 118  51  51]
[ 58 120  48  48],[112  57  42  42]
[118  62  39  39],[43 54 43 43]
[116  61  39  39],[ 58 121  50  50]
[46 56 40 40],[119  64  39  39]
[42 52 40 40],[115  60  38  38]
[45 59 41 41],[121  67  38  38]
[47 59 37 37],[121  65  38  38]
[47 60 38 38],[121  66  37  37]
[44 58 37 37],[116  62  39  39]
[37 52 38 38],[111  56  38  38]
[38 52 40 40],[112  56  41  41]
[46 58 38 38],[119  64  37  37]
[44 56 39 39],[118  62  38  38]
[44 55 42 42],[117  62  36  36]
[40 56 37 37],[113  60  38  38]
[41 55 39 39],[115  61  36  36]
[50 62 36 36],[121  65  38  38]
[ 70 120  48  48],[111  61  40  40]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 64 108  49  49],[-1 -1 -1 -1]
[116  68  26  26],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 74 111  46  46],[88 49 46 46]
[ 70 104  45  45],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[56 54 23 23],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[ 89 120  51  51],[-1 -1 -1 -1]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[111  54  41  41],[30 48 57 57]
[111  53  43  43],[33 52 51 51]
[-1 -1 -1 -1],[-1 -1 -1 -1]
[109  55  44  44],[36 55 48 48]
[104  51  44  44],[30 52 49 49]
[113  60  44  44],[39 62 47 47]
